company_name,category_query,city,phone,email,website,address,google_place_id
The Dam Grille,restaurants,"Denver, CO",(303) 779-0805,,http://thedamgrille.com/,"8000 E Quincy Ave #1500, Denver, CO 80237, USA",ChIJkeVs4AWHbIcRi9ioXBw9G_U
Griffin Tavern,restaurants,"Denver, CO",(720) 482-4038,,https://griffintavernco.com/,"5062 S Syracuse St, Denver, CO 80237, USA",ChIJWfvjMPyGbIcR2RqRS-BhyGA
La Fogata - Quincy,restaurants,"Denver, CO",(720) 930-8004,,https://la-fogatadenver.com/,"8090 E Quincy Ave, Denver, CO 80237, USA",ChIJQS1BNAaHbIcRjeFhvvaYFHQ
"Snooze, an A.M. Eatery",restaurants,"Denver, CO",(720) 441-1350,,https://www.snoozeeatery.com/restaurant/colorado/denver-tech-center/?utm_source=Google&utm_medium=BusinessListing,"5073 S Syracuse St, Denver, CO 80237, USA",ChIJq6pmT_yGbIcRAM3DyB5gV6I
El Tule Mexican Cuisine & Bar,restaurants,"Denver, CO",,,,"4862 S Newport St, Denver, CO 80237, USA",ChIJffKMqk-HbIcRCrPO1Udv9iI
FelFel Mediterranean,restaurants,"Denver, CO",(303) 586-5540,,https://www.felfel-usa.com/,"4401 S Tamarac Pkwy, Denver, CO 80237, USA",ChIJ-9O5cHOHbIcRYPNHEzaoavs
Ocean Prime,restaurants,"Denver, CO",(303) 552-3000,,https://www.ocean-prime.com/locations-menus/denver-tech-center,"8000 E Belleview Ave C10, Greenwood Village, CO 80111, USA",ChIJN_94dAGHbIcRPLp1F1Wdkns
DTC Slice,restaurants,"Denver, CO",(303) 997-7268,,https://www.dtcslice.com/,"8000 E Belleview Ave B40, Greenwood Village, CO 80111, USA",ChIJfVrAIQCHbIcRPHqWs_X61KQ
Pizza Republica,restaurants,"Denver, CO",(720) 489-2030,,https://pizzarepublica.com/our-locations/?utm_source=GMB&utm_medium=Organic,"5375 Landmark Pl, Greenwood Village, CO 80111, USA",ChIJjbUUYIyHbIcR6ZPL1lnZE3o
The Original Pancake House - DTC,restaurants,"Denver, CO",(303) 224-0093,,https://www.ophdenver.com/,"8000 E Belleview Ave F-10, Greenwood Village, CO 80111, USA",ChIJ2fCJTPmGbIcRpBg3b0Dazq8
Slattery's Pub & Grill,restaurants,"Denver, CO",(303) 741-2115,,http://slatterys-pubandgrill.com/,"5364 Greenwood Plaza Blvd, Greenwood Village, CO 80111, USA",ChIJkzKnifqGbIcRf2rJhZpQpHc
JING Denver,restaurants,"Denver, CO",(303) 779-6888,,http://www.jingrestaurant.com/,"5370 Greenwood Plaza Blvd, Greenwood Village, CO 80111, USA",ChIJv7tvZPqGbIcRIWwNaQ_FbTk
Shanahan's Steakhouse,restaurants,"Denver, CO",(303) 770-7300,,http://www.shanahanssteakhouse.com/,"5085 S Syracuse St, Denver, CO 80237, USA",ChIJ1zzAXfyGbIcRBtKu5izf18w
Darcy's Bistro & Pub,restaurants,"Denver, CO",(303) 770-0477,,https://www.coloradopubco.com/our-working-concepts/,"4955 S Ulster St Ste 103, Denver, CO 80237, USA",ChIJlcOLU_6GbIcRUg8RCS0CBGU
Pappadeaux Seafood Kitchen,restaurants,"Denver, CO",(303) 740-9449,,https://pappadeaux.com/,"7520 E Progress Pl, Greenwood Village, CO 80111, USA",ChIJQbmWDfuGbIcRaUHT3m5hkL4
Root25 Taphouse & Kitchen,restaurants,"Denver, CO",(303) 779-1234,,http://techcenter.hyatt.com/en/hotel/dining/root-twentyfive-taphouse-kitchen.html,"7800 E Tufts Ave, Denver, CO 80237, USA",ChIJ-3wbJgKHbIcRLVVxKTvJnjw
Enso Sushi & Grill,restaurants,"Denver, CO",(303) 955-0868,,https://www.ensosushigrill.com/?utm_source=gmb&utm_medium=website,"8000 E Belleview Ave D50, Greenwood Village, CO 80111, USA",ChIJy08rT4OHbIcRkZYXu42cz_c
Pokeworks,restaurants,"Denver, CO",(720) 524-8554,,http://www.pokeworks.com/,"8000 E Belleview Ave D55, Greenwood Village, CO 80111, USA",ChIJAzUKsSqHbIcR2dRBYwR8MjY
South Garden,restaurants,"Denver, CO",(303) 770-1818,,https://www.smorefood.com/order-online/south-garden-restaurant-denver-80237-l1ypw017?utm_source=gmb&utm_medium=website,"8000 E Quincy Ave Unit 2400, Denver, CO 80237, USA",ChIJkeVs4AWHbIcR8u_kdbB75pQ
Tap & Burger Belleview Station,restaurants,"Denver, CO",(720) 583-1367,,https://www.tapandburger.com/,"4910 S Newport St, Denver, CO 80237, USA",ChIJMxG526KHbIcRH8Qv62Ug5I0
Lucy Restaurant,restaurants,"Denver, CO",(720) 274-6868,,https://www.lucyrestaurant.com/,"5345 Landmark Pl, Greenwood Village, CO 80111, USA",ChIJjfhShvqGbIcRO98Wx5p8y0g
Ted's Montana Grill,restaurants,"Denver, CO",(303) 771-3038,,https://www.tedsmontanagrill.com/tmg049.html,"5370 Greenwood Plaza Blvd, Greenwood Village, CO 80111, USA",ChIJJcjAZfqGbIcRuZ0O7FMHiNs
Yanni's Greek Restaurant,restaurants,"Denver, CO",(303) 692-0404,,http://www.yannisdenver.com/,"5425 Landmark Pl #D109, Greenwood Village, CO 80111, USA",ChIJG3n7fvCGbIcRk4Ie2cpTzMI
Flippin Birdz,restaurants,"Denver, CO",(623) 258-3965,,https://www.flippinbirdz.com/,"Denver, CO 80237, USA",ChIJKw2sWACHbIcRft33BuE5Vnw
Ocho's Mexican Cocina,restaurants,"Denver, CO",(303) 993-6656,,https://www.ochosmexcocina.com/,"8080 E Union Ave Suite 120, Denver, CO 80237, USA",ChIJOZzNRp-HbIcRw8OuMTMJMxQ
Tuk Tuk Thai Grill DTC,restaurants,"Denver, CO",(720) 200-4041,,http://www.tuktukrocks.com/,"8000 E Quincy Ave, Denver, CO 80237, USA",ChIJkeVs4AWHbIcRCfPrdEOx7Jw
Hapa Sushi Grill and Sake Bar,restaurants,"Denver, CO",(303) 267-8744,,http://hapasushi.com/,"5380 Greenwood Plaza Blvd #101, Greenwood Village, CO 80111, USA",ChIJ5yHUc_qGbIcR8tPhhiXeNl4
Yampa Sandwich Co.,restaurants,"Denver, CO",(303) 927-6248,,http://yampasandwichco.com/,"4919 S Newport St, Denver, CO 80237, USA",ChIJzRnwnhaHbIcR7xGRMNp7ZlI
Eddie V's Prime Seafood,restaurants,"Denver, CO",(720) 826-7488,,https://www.eddiev.com/locations/co/greenwood-village/greenwood-village/8520?cmpid=br:ev_ag:ie_ch:loc_ca:EVGMB_sn:gmb_gt:greenwood-village-co-8520_pl:locurl_rd:1019,"5111 DTC Pkwy, Greenwood Village, CO 80111, USA",ChIJ9_hybd2HbIcRrE-tIT7BWs4
Thai Arun Cafe,restaurants,"Denver, CO",(303) 862-6826,,https://thaiarun.diningtek.online/,"4955 S Ulster St Suite 106, Denver, CO 80237, USA",ChIJT4KGsdWHbIcRq4f9DySPdVg
Ruth's Chris Steak House,restaurants,"Denver, CO",(303) 854-9304,,https://www.ruthschris.com/locations/co/denver-tech/denver-tech/7362?cmpid=br:rc_ag:ie_ch:loc_ca:RCGMB_sn:gmb_gt:denver-co-7362_pl:locurl_rd:1062,"7001 E Belleview Ave #100, Denver, CO 80237, USA",ChIJ9xoiN-OGbIcR044q8nFynYY
"Cheba Hut ""Toasted"" Subs",restaurants,"Denver, CO",(303) 856-9789,,https://chebahut.com/locations/denver-dtc/,"7795 E Belleview Ave ste 1, Greenwood Village, CO 80111, USA",ChIJEWofVwCHbIcR7i05OKXFSQg
ROSA FRIDA Mexican Food and Refreshments,restaurants,"Denver, CO",(720) 448-4028,,,"6750 E Chenango Ave, Denver, CO 80237, USA",ChIJG0WkWSSHbIcR6yFVsOOnKW4
Pull and Press,restaurants,"Denver, CO",(303) 219-0820,,http://pullandpressco.com/,"5295 DTC Pkwy Suite 103, Greenwood Village, CO 80111, USA",ChIJDU9LOxOHbIcRBxGisZIHaZk
Teriyaki Madness,restaurants,"Denver, CO",(720) 519-0107,,https://teriyakimadness.com/locations/co-denver-tech-center/,"8080 E Union Ave Ste 130, Denver, CO 80237, USA",ChIJxc0NewWHbIcR_6N2WbkwvY4
Crisp and Green,restaurants,"Denver, CO",(303) 955-5450,,https://crispandgreen.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,"6821 E Chenango Ave, Denver, CO 80237, USA",ChIJp-UDVlSHbIcR7iP6yNU2FJs
Oliver's Italian,restaurants,"Denver, CO",(303) 862-8507,,https://www.oliversitalian.com/,"4950 S Yosemite St F3, Greenwood Village, CO 80111, USA",ChIJD1JFemGHbIcRcSakhSstHSc
Morning Story - DTC,restaurants,"Denver, CO",(720) 596-4692,,http://www.morningstoryrestaurant.com/,"4930 S Yosemite St Suite D1C, Greenwood Village, CO 80111, USA",ChIJs0NIoBGHbIcRFzgdwczXxuM
Byblos Greenwood Village,restaurants,"Denver, CO",(303) 953-0145,,https://www.byblos-cafe.com/,"4940 S Yosemite St Unit E4, Greenwood Village, CO 80111, USA",ChIJQVQ_EVKHbIcRfw3VZ5Xy8Tc
Dumpling Factory,restaurants,"Denver, CO",(720) 420-9461,,https://pos.chowbus.com/online-ordering/store/Dumpling-Factory/23650,"4660 S Yosemite St, Greenwood Village, CO 80111, USA",ChIJX6E3P1yHbIcRB9S2RDOW_7g
The French Press,restaurants,"Denver, CO",(303) 770-2244,,http://www.myfrenchpress.com/,"4668 S Yosemite St, Greenwood Village, CO 80111, USA",ChIJf3La7ayHbIcRtjKLRpWCZ_Q
YaYas Euro Bistro in Denver,restaurants,"Denver, CO",(303) 741-1110,,http://www.yayaseurobistrodenver.com/,"8310 E Belleview Ave, Greenwood Village, CO 80111, USA",ChIJZ5TTFlaGbIcRJnqWEBUoQC4
Bonefish Grill,restaurants,"Denver, CO",(303) 741-3474,,https://locations.bonefishgrill.com/colorado/greenwood/4948-s.-yosemite-street?y_source=1_MTU1MDI3ODctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"4948 S Yosemite St, Greenwood Village, CO 80111, USA",ChIJiaT_XlGGbIcRuzosIcVhhDk
Burnt End BBQ in Denver,restaurants,"Denver, CO",(720) 638-1153,,https://www.burntenddenver.com/,"5332 DTC Blvd #100, Greenwood Village, CO 80111, USA",ChIJVdVjS1iGbIcRWx8FwQLxkms
Asuka Ramen&Poke（Greenwood Village),restaurants,"Denver, CO",(303) 779-3668,,https://www.ezordernow.com/greenwood-village-asian-asuka-ramen-poke-802081,"5131 S Yosemite St, Greenwood Village, CO 80111, USA",ChIJnwCMa4iHbIcRAYkriVQjA8Q
Chianti Ristorante Italiano,restaurants,"Denver, CO",(303) 796-0611,,https://chianti-ristorante.com/,"5121 S Yosemite St, Greenwood Village, CO 80111, USA",ChIJIVYkO1GGbIcRLJ7L6pFwDGc
The Delectable Egg,restaurants,"Denver, CO",(303) 694-0036,,https://www.delectableegg.com/,"5312 DTC Blvd #100, Greenwood Village, CO 80111, USA",ChIJnX95M1iGbIcRHA1ABskMRsM
Cuba Cuba DTC,restaurants,"Denver, CO",(303) 741-4634,,http://cubacubarestaurants.com/,"5322 DTC Blvd, Greenwood Village, CO 80111, USA",ChIJu_ixMFiGbIcR84RyHfkCbNc
Illegal Pete's - DTC,restaurants,"Denver, CO",(303) 771-2277,,https://www.illegalpetes.com/,"5312 DTC Blvd #400, Greenwood Village, CO 80111, USA",ChIJnX95M1iGbIcR1hpaVWhFHeE
Taqueria El Comalito,restaurants,"Denver, CO",(303) 770-5957,,https://www.taqueriaelcomalito.com/,"4690 S Yosemite St UNIT A, Greenwood Village, CO 80111, USA",ChIJRTmRwWCHbIcRi-P16FV8VXM
Smashburger,restaurants,"Denver, CO",(303) 872-4133,,https://smashburger.com/locations/us/co/greenwood-village/5302-dtc-blvd?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=1753,"5302 DTC Blvd #500, Greenwood Village, CO 80111, USA",ChIJoRMb9kKHbIcRekUhcok5lAk
Shanghai Kitchen,restaurants,"Denver, CO",(303) 290-6666,,http://www.shanghaikitchendenver.com/,"4940 S Yosemite St E8, Greenwood Village, CO 80111, USA",ChIJjRBu61OGbIcR7zH6J4HObrE
MAD Greens - Denver Tech Center,restaurants,"Denver, CO",(720) 259-4441,,http://www.madgreens.com/,"4948 S Yosemite St Unit B, Greenwood Village, CO 80111, USA",ChIJI9FhY1GGbIcRxDHQstQIU4o
Jose’s Street Tacos,restaurants,"Denver, CO",(720) 246-1471,,,"3505 S Kipling St, Lakewood, CO 80235, USA",ChIJm9RViQSBa4cRcF4lTN61IOY
Golden Plate II,restaurants,"Denver, CO",(303) 763-9028,,http://www.goldenplate2.com/,"9880 W Girton Dr, Denver, CO 80227, USA",ChIJY-5Ny-6Ba4cR0cqdb_FPvkc
Merced Cafe & Bar,restaurants,"Denver, CO",(720) 916-9382,,http://mercedcafeandbar-lakewood.com/,"9890 W Girton Dr Suite A, Lakewood, CO 80227, USA",ChIJn9YGdgCBa4cRGxwIx5cqQAw
Meena's Restaurant & Catering,restaurants,"Denver, CO",(303) 993-5262,,https://meenasorderonline.com/,"9886 W Girton Dr # B, Lakewood, CO 80227, USA",ChIJS4Cok9yBa4cRRHmJCn4CS0o
The Burger Den,restaurants,"Denver, CO",(303) 988-2762,,https://www.theburgerden.com/?utm_source=G&utm_medium=organic&utm_campaign=DAC,"3580 S Wadsworth Blvd, Lakewood, CO 80235, USA",ChIJQyJw8KGBa4cR50rhXx2OqLY
The Rusty Bucket Bar and Grill,restaurants,"Denver, CO",(303) 980-6200,,http://the-rusty-bucket.com/,"3355 S Wadsworth Blvd, Lakewood, CO 80227, USA",ChIJGb_EeM2Ba4cRuTAAhGzoe9o
The Yabby Hut,restaurants,"Denver, CO",(303) 985-0231,,https://www.yabbyhut.com/,"3355 S Yarrow St E-131, Lakewood, CO 80227, USA",ChIJy-pl9c2Ba4cRGoVbgnTVT9o
Foothills Restaurant & Event Venue,restaurants,"Denver, CO",(303) 728-2521,,https://www.foothillsrestaurant.co/foothills-home,"3901 S Carr St, Denver, CO 80235, USA",ChIJxxEkvU-Ba4cRUaYyJzkiHpw
Denny's Restaurant,restaurants,"Denver, CO",(303) 988-2762,,https://locations.dennys.com/CO/LAKEWOOD/248716?utm_source=G&utm_medium=organic&utm_campaign=DAC,"3580 S Wadsworth Blvd, Lakewood, CO 80235, USA",ChIJkVT9X9OBa4cRBGm7lnkCrnI
El Tapatio Mexican Restaurant,restaurants,"Denver, CO",(303) 984-4423,,https://www.eltapatiomexicanrestaurants.biz/,"3601 S Wadsworth Blvd, Denver, CO 80235, USA",ChIJlaIafNSBa4cRQ24Pwg6EEEY
Eeny Meeny Sushi Roll,restaurants,"Denver, CO",(303) 988-0870,,https://www.eenymeenysushiroll.com/,"3650 S Wadsworth Blvd, Lakewood, CO 80235, USA",ChIJ6QL4ldSBa4cRFIv-Q0vwJ_k
Cirque Kitchen and Spirits,restaurants,"Denver, CO",(920) 634-9195,,http://www.cirquekitchen.com/,"3497 South Wadsworth Boulevard, Lakewood, CO 80227, USA",ChIJJ1UF6xx5bIcRpp2kp9YuFYY
Peking-Tokyo Restaurant,restaurants,"Denver, CO",(303) 985-3040,,https://www.pekingtokyoexpresslakewood.com/,"3355 S Wadsworth Blvd, Lakewood, CO 80227, USA",ChIJ9cWOfNKBa4cRNjoICVq96QY
Innsider Bar & Grill,restaurants,"Denver, CO",(303) 980-9200,,https://www.ihg.com/holidayinn/hotels/us/en/lakewood/denlw/hoteldetail/dining?cm_mmc=GoogleMaps-Dining,"7390 W Hampden Ave, Lakewood, CO 80227, USA",ChIJAT-ftSyAa4cR49xTOg8ifp0
Old Chicago Pizza + Taproom,restaurants,"Denver, CO",(303) 988-3414,,https://oldchicago.com/locations/us/co/lakewood/3550-so-wadsworth-blvd/,"3550 S Wadsworth Blvd, Lakewood, CO 80235, USA",ChIJC49YXdOBa4cRxlHZLFaUhlE
Red Robin Gourmet Burgers and Brews,restaurants,"Denver, CO",(303) 989-8448,,http://www.redrobin.com/locations/co/lakewood/lakewood-203,"3244 S Wadsworth Blvd, Lakewood, CO 80227, USA",ChIJQ4gzcc2Ba4cRzFkE2s9uVvk
Bangkok Thai Food 2,restaurants,"Denver, CO",(720) 964-1029,,https://www.bangkokthaifood2lakewood.com/,"3333 S Wadsworth Blvd #A101, Lakewood, CO 80227, USA",ChIJqew2ipKBa4cROHUVmrqM3pY
Sabor Express Mexican Grill,restaurants,"Denver, CO",(720) 218-9730,,,"5600 W Dartmouth Ave #107, Denver, CO 80227, USA",ChIJJ0tePgGBa4cRnWX_wJKt_1k
Doghouse Tavern,restaurants,"Denver, CO",(303) 936-1376,,http://www.doghouse-tavern.com/,"3100 S Sheridan Blvd, Denver, CO 80227, USA",ChIJUwi2ThmAa4cR8LB2a1mou9o
Jade Cafe,restaurants,"Denver, CO",(303) 985-3180,,http://www.jade.cafe/,"5600 W Dartmouth Ave #101, Denver, CO 80227, USA",ChIJN8AieiKAa4cR3Wfgpoenzn8
La keka,restaurants,"Denver, CO",(775) 240-0305,,,"Unnamed Road, Denver, CO 80227, USA",ChIJE7BMnGWBa4cRP--EGrpWucM
Pho 8 Vietnamese & Chinese Restaurant,restaurants,"Denver, CO",(303) 934-8802,,https://www.skiplinow.com/shop/873448k,"3100 S Sheridan Blvd Unit H, Denver, CO 80227, USA",ChIJyf7zFIOBa4cRh8IXUGvbJYI
